,Year,Tour_No,Winner,Country,Team,Tour_overall_length_(km),age,BMI,weight_(Kg),height_(m),rider_type_(PPS),close_rider_type_(PPS),win_gap,top_five_gap,top_ten_gap,first_last_gap,win_time
0,2023,110,Jonas Vingegaard,Denmark,Team Jumbo Visma,3406,25,19.6,60.0,1.749635531,climber,,449,797,1590,22031,295542
1,2022,109,Jonas Vingegaard,Denmark,Team Jumbo Visma,3328,25,19.6,60.0,1.749635531,climber,,163,946,1492,20442,286400
2,2021,108,Tadej Pogacar,Slovenia,UAE Team Emirates,3383,22,21.3,66.0,1.760281668,climber,,320,613,1114,18069,298596
3,2020,107,Tadej Pogacar,Slovenia,UAE Team Emirates,3482,21,21.3,66.0,1.760281668,climber,,59,367,843,22022,314405
4,2019,106,Egan Bernal,Colombia,Team Ineos,3366,22,19.6,60.0,1.749635531,climber,,71,245,452,16463,298620
5,2018,105,Geraint Thomas,United Kingdom,Team Sky,3349,32,21.2,71.0,1.830042787,climber,time trial,111,368,858,16459,299833
6,2017,104,Chris Froome,United Kingdom,Team Sky,3540,36,19.9,69.0,1.862078592,climber,time trial,54,185,565,16552,310855
7,2016,103,Chris Froome,United Kingdom,Team Sky,3529,35,19.9,69.0,1.862078592,climber,time trial,245,317,431,19034,320688
8,2015,102,Chris Froome,United Kingdom,Team Sky,3354,34,19.9,69.0,1.862078592,climber,time trial,72,588,1050,17819,305174
9,2014,101,Vincenzo Nibali,Italy,Astana Pro Team,3664,29,20.1,65.0,1.79828553,climber,,457,684,1275,21744,323946
10,2013,100,Chris Froome,United Kingdom,Team Sky,3404,32,19.9,69.0,1.862078592,climber,time trial,260,447,1059,16075,302200
11,2012,99,Bradley Wiggins,United Kingdom,Team Sky,3497,32,19.1,69.0,1.900674997,time trial,,201,664,1037,14256,315287
12,2011,98,Cadel Evans,Australia,BMC Racing Team,3630,34,21.1,64.0,1.741601377,climber,time trial,94,295,643,14263,310342
13,2010,97,Andy Schleck,Luxembourg,Team Saxo Bank,3642,25,19.7,68.0,1.857895759,climber,,181,532,822,15984,331167
14,2009,96,Alberto Contador,Spain,Astana,3460,26,20.0,62.0,1.760681686,climber,time trial,251,402,1039,15387,308915
